日期,AQI指数
,
2016/10/8,50
,
2016/10/9,65
,
2016/10/10,55
,
2016/10/11,59
,
2016/10/12,55
,
2016/10/13,61
,
2016/10/14,68
,
2016/10/15,68
,
2016/10/16,75
,
2016/10/17,61
,
2016/10/18,69
,
2016/10/19,66
,
2016/10/20,43
,
2016/10/21,52
,
2016/10/22,23
,
2016/10/23,32
,
2016/10/24,48
,
2016/10/25,46
,
2016/10/26,65
,
2016/10/27,55
,
2016/10/28,40
,
2016/10/29,24
,
2016/10/30,36
,
2016/10/31,38
,
2016/11/1,28
,
2016/11/2,43
,
2016/11/3,58
,
2016/11/4,88
,
2016/11/5,127
,
2016/11/6,109
,
2016/11/7,104
,
2016/11/8,29
,
2016/11/9,43
,
2016/11/10,48
,
2016/11/11,63
,
2016/11/12,70
,
2016/11/13,28
,
2016/11/14,38
,
2016/11/15,138
,
2016/11/16,93
,
2016/11/17,78
,
2016/11/18,71
,
2016/11/19,77
,
2016/11/20,56
,
2016/11/21,61
,
2016/11/22,34
,
2016/11/23,15
,
2016/11/24,29
,
2016/11/25,54
,
2016/11/26,51
,
2016/11/27,69
,
2016/11/28,79
,
2016/11/29,94
,
2016/11/30,94
,
2016/12/1,89
,
2016/12/2,91
,
2016/12/3,140
,
2016/12/4,159
,
2016/12/5,171
,
2016/12/6,202
,
2016/12/7,222
,
2016/12/8,214
,
2016/12/9,175
,
2016/12/10,126
,
2016/12/11,92
,
2016/12/12,140
,
2016/12/13,67
,
2016/12/14,60
,
2016/12/15,52
,
2016/12/16,85
,
2016/12/17,106
,
2016/12/18,101
,
2016/12/19,81
,
2016/12/20,79
,
2016/12/21,67
,
2016/12/22,61
,
2016/12/23,83
,
2016/12/24,78
,
2016/12/25,69
,
2016/12/26,21
,
2016/12/27,50
,
2016/12/28,77
,
2016/12/29,61
,
2016/12/30,85
,
2016/12/31,91
,
2017/1/1,127
,
2017/1/2,123
,
2017/1/3,180
,
2017/1/4,216
,
2017/1/5,172
,
2017/1/6,28
,
2017/1/7,17
,
2017/1/8,30
,
2017/1/9,82
,
2017/1/10,112
,
2017/1/11,103
,
